"","StationX","StationY","FUAId","FUAName","NO2AveGround","Dist","Pop2015","CBDX","CBDY","StationBackgrd"
"168",-140293.505218,6754113.98175,4792,"Oxford",14.728247,1270.22126392,482932.18074,-139915.241067,6755326.57331,"Background"
"169",1127973.68353,5470256.242,2381,"Massa",19.251528,1277.23748303,190477.881069,1128914.33267,5471120.25287,"Traffic"
"170",344672.973369,5744476.91852,3353,"Clermont-Ferrand",35.193622,1277.85862767,422420.841767,343572.462258,5745126.37827,"Traffic"
"171",683627.464495,5813712.07803,29,"Geneva",34.655648,1281.27472113,543996.661167,684241.947781,5812587.76704,"Background"
"172",243502.117093,5069505.79545,4523,"Barcelona",35.48763,1281.37390611,4609369.60955,242359.051487,5068926.72714,"Background"
"173",895172.345629,6849147.49712,2004,"Osnabrück",40.904999,1293.83025646,362816.223598,895143.402258,6850441.0036,"Traffic"
"174",1022412.75,6235707.05573,3580,"Stuttgart",64.892904,1297.06818729,2234166.17672,1021685.97874,6236781.38781,"Traffic"
"175",-108567.424738,4523501.64348,3946,"Cartagena",19.474151,1301.30157668,188603.140773,-109733.188131,4522923.38618,"Background"
"176",1593879.14835,5881168.67006,511,"Klagenfurt",28.133079,1301.3186593,152986.5157,1592602.31316,5880917.42884,"Traffic"
"177",1645917.67071,5000374.99627,4465,"Avellino",24.423249,1302.29179445,144609.724161,1647019.73335,4999681.15057,"Traffic"
"178",-296264.454924,5288198.07661,3583,"Vitoria-Gasteiz",13.778583,1305.64247994,238003.435468,-297481.777958,5288670.12207,"Traffic"
"179",944607.773018,5514362.5199,565,"Savona",13.549657,1309.35450794,123482.163662,944122.864785,5513146.26613,"Background"
"180",-708023.130903,4789621.29664,1766,"Cáceres",7.661247,1318.78143821,89925.3511206,-709320.002625,4789860.68799,"Background"
"181",732359.79798,7023434.6745,3116,"Groningen",24.916679,1327.10969004,397905.914124,731035.643997,7023523.19771,"Traffic"
"182",1730770.95257,5079522.62236,4628,"Foggia",22.275561,1338.15243622,136024.491313,1730254.46937,5080757.08461,"Background"
"183",-98394.1847173,5108445.68472,3982,"Zaragoza",28.489402,1349.41603321,718930.510597,-97676.1690019,5109588.21571,"Traffic"
"184",414637.612688,6632287.52614,657,"Ghent",38.721739,1353.55998355,899790.149447,414695.415183,6630935.20092,"Traffic"
"185",2160816.17926,7202008.81143,2531,"Gronowo Górne",13.375692,1354.25647922,99988.3012323,2160470.86617,7200699.31936,"Background"
"186",681104.964834,6379276.38837,103,"Luxembourg",31.454436,1356.00941788,442453.213112,682442.55156,6379053.62551,"Traffic"
"187",1105216.64003,6715621.3066,4083,"Göttingen",36.889491,1357.50541867,156102.340054,1106537.08066,6715306.25501,"Traffic"
"188",2215147.21521,5507794.83571,478,"Valjevo",25.851499,1358.46333377,69563.7365975,2213844.10967,5507410.98863,"Background"
"189",1390004.29145,6571984.83084,4863,"Zwickau",26.152114,1361.97847432,207553.393272,1391307.17405,6571587.99045,"Traffic"
"190",1111782.26359,6174349.59721,4255,"Ulm",35.099307,1362.55435924,292644.784769,1112439.04811,6173155.78463,"Traffic"
"191",138219.811012,5029671.80652,4358,"Tarragona",22.175306,1380.52630882,408753.908017,139600.207885,5029652.90249,"Background"
"192",4594514.50172,4852630.55363,5462,"Erzurum",64.451063,1381.77094158,149410.309107,4593245.90414,4852082.8757,"Traffic"
"193",2314332.88151,6124664.98265,1194,"Miskolc",32.776562,1382.76323609,264875.918247,2313031.21143,6124198.41093,"Traffic"
"194",-2906.67546925,4864327.77317,4258,"Castellón de la Plana",22.356714,1384.95843325,352344.340965,-4230.14087681,4863919.6688,"Traffic"
"195",1021993.07552,6238142.88787,3580,"Stuttgart",46.156249,1395.70442633,2234166.17672,1021685.97874,6236781.38781,"Traffic"
"196",-1717973.99786,3265844.82157,543,"Las Palmas de Gran Canaria",20.613535,1396.03433463,607236.542005,-1717414.62304,3264565.75485,"Traffic"
"197",1341276.1881,5499421.66204,3548,"Forlì",20.027418,1401.79205225,160030.318681,1340131.93495,5500231.4186,"Background"
"198",997107.603349,5782128.18141,1752,"Lugano",24.781212,1406.78087465,176322.464606,996444.139361,5780887.6783,"Background"
"199",-234491.39041,7789722.03348,3949,"Aberdeen",38.154914,1409.31909947,327687.306892,-233451.797363,7790673.57256,"Traffic"
"200",1408853.90951,5774348.25976,3679,"Pordenone",27.089143,1410.5307488,188407.038636,1409312.54588,5773014.37458,"Traffic"
"201",1408377.46208,5244061.63439,3918,"Terni",14.706614,1411.43288052,132125.831179,1407816.41137,5245356.76561,"Traffic"
"202",773433.350498,6609906.47167,1064,"Cologne",45.872464,1413.92854708,3178671.81558,774751.490261,6610418.03936,"Traffic"
"203",-539420.856537,4859927.96688,2762,"Talavera de la Reina",15.712271,1418.63912052,92180.1989934,-538002.645675,4859893.11139,"Background"
"204",498743.490087,6784770.93174,296,"Rotterdam [The Hague]",29.438739,1419.93335786,3494348.38435,498695.766719,6786190.06289,"Background"
"205",-183614.820894,5285667.33801,3872,"Pamplona",16.834236,1420.19183422,336603.49343,-183024.933541,5284375.44879,"Background"
"206",1493777.6566,6893530.1329,4946,"Berlin",24.332694,1421.17371215,4290482.74447,1492640.76454,6894382.89967,"Background"
"207",2128142.1276,6589105.86565,2725,"Częstochowa",37.335242,1427.35303002,410111.330893,2127987.48619,6587686.91438,"Traffic"
"208",-1810598.15941,3307475.16869,395,"Santa Cruz de Tenerife",15.662956,1433.35003718,464579.093557,-1809459.87916,3308346.26593,"Industrial"
"209",844033.284754,6034937.52831,935,"Basel",23.952875,1441.28939578,495128.994417,844741.277337,6033682.11538,"Background"
"210",1811132.15901,6580486.07017,1332,"Wałbrzych",15.207159,1442.71791985,291024.883988,1812565.17482,6580319.03519,"Background"
"211",1532433.12714,5722922.84026,4164,"Triest",22.188083,1444.42977638,221523.587049,1532693.35693,5724343.63505,"Background"
"212",1226989.69892,6616157.60576,4388,"Erfurt",26.99461,1448.1916881,239680.631531,1227780.76513,6617370.6488,"Traffic"
"213",959930.233009,5608983.06694,841,"Alessandria",24.355639,1452.94150865,102360.263241,959059.714646,5607819.77987,"Background"
"214",1092693.53127,5482500.9019,2168,"La Spezia",28.359269,1453.96615521,162878.831962,1094065.76639,5482020.28942,"Traffic"
"215",1018233.14839,5650780.93683,1778,"Pavia",34.552643,1460.24860301,142506.265693,1019688.76276,5650664.69231,"Traffic"
